                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4
      0.00     -0.15     -0.64		    0    0    0    0
      0.00      0.00      0.00		    0    0    0    1
    -50.00    -50.00     -0.74		    0    0    0    2
      0.00      0.00      0.00		    0    0    0    3
      0.00      0.00      0.00		    0    0    1    0
      0.69      0.05     -0.17		    0    0    1    1
      0.00      0.00      0.00		    0    0    1    2
      0.00      0.00      0.00		    0    0    1    3
    -50.00      0.27     -0.28		    0    0    2    0
      0.00      0.00      0.00		    0    0    2    1
    -63.22     -0.45    -50.48		    0    0    2    2
    -49.99     -0.34     -0.68		    0    0    2    3
      0.00      0.00      0.00		    0    0    3    0
      0.00      0.00      0.00		    0    0    3    1
    -50.59     -1.71     -1.78		    0    0    3    2
      0.00      0.00      0.00		    0    0    3    3
      0.00      0.00     -0.55		    0    1    0    0
      0.00      0.00      0.00		    0    1    0    1
      0.27      0.00      0.00		    0    1    0    2
      0.00      0.00      0.00		    0    1    0    3
      0.00      0.00      0.00		    0    1    1    0
      0.40      0.27     -0.36		    0    1    1    1
      0.00      0.00      0.00		    0    1    1    2
      0.00      0.00      0.00		    0    1    1    3
    -11.33      0.15     -1.21		    0    1    2    0
      0.00      0.00      0.00		    0    1    2    1
    -22.18      0.78    -50.23		    0    1    2    2
      0.26     -0.68     -0.82		    0    1    2    3
      0.00      0.00      0.00		    0    1    3    0
      0.00      0.00      0.00		    0    1    3    1
      0.00      0.00      0.00		    0    1    3    2
      0.00      0.00      0.00		    0    1    3    3
      0.00      0.00      0.00		    0    2    0    0
      0.00      0.00      0.00		    0    2    0    1
      0.00      0.00     -0.16		    0    2    0    2
      0.00      0.00      0.00		    0    2    0    3
      0.00      0.05      0.00		    0    2    1    0
      1.11      0.21    -50.38		    0    2    1    1
      0.00      0.00      0.00		    0    2    1    2
      0.00      0.66     -0.55		    0    2    1    3
      0.14     -1.16    -49.73		    0    2    2    0
      0.00      0.00      0.00		    0    2    2    1
    -50.20      0.54    -62.10		    0    2    2    2
    -50.00     -0.59     -0.90		    0    2    2    3
      0.00      0.00      0.00		    0    2    3    0
      0.00      0.00      0.00		    0    2    3    1
      1.10      0.71      0.26		    0    2    3    2
      0.00      0.35      0.06		    0    2    3    3
      0.00      0.00      0.00		    1    0    0    0
      0.00      0.00      0.00		    1    0    0    1
     -1.22     -0.44      0.24		    1    0    0    2
      0.20      0.00      0.00		    1    0    0    3
      0.00      0.00      0.00		    1    0    1    0
      1.28     -0.07     -0.51		    1    0    1    1
      0.00      0.00      0.00		    1    0    1    2
      0.00      0.00      0.00		    1    0    1    3
      0.00      0.00      0.00		    1    0    2    0
      0.00      0.00      0.00		    1    0    2    1
     -9.83    -49.42     -4.81		    1    0    2    2
      0.59     -1.51     -0.65		    1    0    2    3
      0.00      0.00      0.00		    1    0    3    0
      0.00      0.00      0.00		    1    0    3    1
      0.50     -0.59     -0.55		    1    0    3    2
      0.97     -0.41     -0.14		    1    0    3    3
